epoch,data_loss,physics_loss,constraint_loss,total_loss,valid_relative_l2,valid_physics_loss,valid_constraint_loss
1,0.47300187775661473,6.06074664837122,2.1383608484340364,0.5086496460246853,0.4809605610370636,3.619780727148056,2.5414425886720418
2,0.10562325684592361,2.837037256166339,3.45357720148284,0.12293001608015038,0.2758103735297918,1.5515179971456527,2.0749991896152498
3,0.038356432395099546,1.1096118033193052,1.3274948402652518,0.04511951059894636,0.17061887177452445,0.5788038200736045,0.7502740375846625
4,0.022314800987653143,0.5902421489320695,0.6274232954713516,0.02589242348741391,0.13584535231441258,0.37289859798550606,0.534606151252985
5,0.016557753944227444,0.37678655079752205,0.47018577073933554,0.018859173867909702,0.11850857900828123,0.28815790040791034,0.39798341074958443
6,0.013119063025198557,0.3233307219799608,0.3371593721807003,0.015077207779118907,0.10528548364713788,0.23260439732670785,0.3079158239401877
7,0.010391325965223587,0.24942408504988997,0.26723563169059344,0.01190368578788184,0.09641503309458495,0.17850628912448882,0.2259495332054794
8,0.008785076718046184,0.19285229121241718,0.20408907387568614,0.009953777849703329,0.08661399327591061,0.16527183444797994,0.17912670261599123
9,0.007207849864132186,0.1704078597202897,0.16561336375400423,0.008236813705094392,0.07758483652025461,0.12559626214951278,0.1502225296702236
10,0.005841683582584665,0.12608835805486887,0.13818876980431377,0.006606991427062894,0.07605514141917229,0.1199129753485322,0.1439245222248137
11,0.0050846222406225935,0.12175197936873883,0.11245442710374481,0.005818305655688164,0.07632210831530392,0.0899042260684073,0.10303253178484738
12,0.004416176446728969,0.12400493761198596,0.0977338131738361,0.0051591888138791545,0.06401795331574976,0.07454058354347945,0.1022157882321626
13,0.00382703311496698,0.0765722688967362,0.08745222566532902,0.004292690116693848,0.05813569755107165,0.09964988235011697,0.08534591521881521
14,0.0034143939085629427,0.08373046780726873,0.07433381399116479,0.003918198755058256,0.05540797198750079,0.08604804024472833,0.07551502367295325
15,0.0030099982893880225,0.07284165524039418,0.07057685847394168,0.0034497793577538687,0.050806146007031205,0.057171498756855725,0.06827441718243063
