epoch,train_loss,valid_loss
1,0.20995785526931285,0.11689197260141372
2,0.08546654827520252,0.05671777688711881
3,0.049210990839637814,0.04737956643104553
4,0.0367357044974342,0.08660762657225132
5,0.03151227523898706,0.027649630881845952
6,0.02868869957025163,0.026972291465848685
7,0.027727451969403773,0.018714849665760994
8,0.024258934545330704,0.027189343102276324
9,0.023357414680533112,0.019607593361288308
10,0.022709346110466867,0.016086555099114774
11,0.020902012473205105,0.017981228940188883
12,0.02028136122133583,0.020311809612438083
13,0.019229988746810703,0.025764697981998326
14,0.018295535150682555,0.017249821634963153
15,0.01815349252219312,0.016734711309894918
