model,epoch,split,metric,value
deeponet,57,validation,relative_l2,0.23400171399116515
deeponet,58,train,relative_l2,0.18027855455875397
deeponet,58,validation,relative_l2,0.22458281368017197
deeponet,59,train,relative_l2,0.17887674123048783
deeponet,59,validation,relative_l2,0.22809683084487914
deeponet,60,train,relative_l2,0.20051251649856566
deeponet,60,validation,relative_l2,0.2332582503557205
deeponet,61,train,relative_l2,0.1919924020767212
deeponet,61,validation,relative_l2,0.24669890403747557
deeponet,62,train,relative_l2,0.1922057718038559
deeponet,62,validation,relative_l2,0.24475383758544922
deeponet,63,train,relative_l2,0.18385076522827148
deeponet,63,validation,relative_l2,0.24171049594879152
deeponet,64,train,relative_l2,0.17187140583992006
deeponet,64,validation,relative_l2,0.2223343312740326
deeponet,65,train,relative_l2,0.17023071944713591
deeponet,65,validation,relative_l2,0.22005509734153747
deeponet,66,train,relative_l2,0.1671834856271744
deeponet,66,validation,relative_l2,0.21863473653793336
deeponet,67,train,relative_l2,0.17109496593475343
deeponet,67,validation,relative_l2,0.22664422392845154
deeponet,68,train,relative_l2,0.18803921490907669
deeponet,68,validation,relative_l2,0.21134510934352874
deeponet,69,train,relative_l2,0.19418287724256517
deeponet,69,validation,relative_l2,0.22386699318885803
deeponet,70,train,relative_l2,0.19140103906393052
deeponet,70,validation,relative_l2,0.23873746991157532
deeponet,71,train,relative_l2,0.18828447312116622
deeponet,71,validation,relative_l2,0.2084676742553711
deeponet,72,train,relative_l2,0.16852142065763473
deeponet,72,validation,relative_l2,0.21539324820041655
deeponet,73,train,relative_l2,0.16579558998346328
deeponet,73,validation,relative_l2,0.22590531408786774
deeponet,74,train,relative_l2,0.16393409669399261
deeponet,74,validation,relative_l2,0.24823555052280427
deeponet,75,train,relative_l2,0.1892858102917671
deeponet,75,validation,relative_l2,0.2703553646802902
deeponet,76,train,relative_l2,0.20296499133110046
deeponet,76,validation,relative_l2,0.2732832282781601
deeponet,77,train,relative_l2,0.20581606924533843
deeponet,77,validation,relative_l2,0.26784718334674834
deeponet,78,train,relative_l2,0.19708767980337144
deeponet,78,validation,relative_l2,0.21980377435684204
deeponet,79,train,relative_l2,0.18702751249074936
deeponet,79,validation,relative_l2,0.22295811176300048
