epoch,train_loss,valid_loss
1,0.9969126129452186,0.9863464699851142
2,0.7509325618230844,0.35170849164326984
3,0.20966266189949423,0.09579652878973219
4,0.08057776913989949,0.05016483904586898
5,0.06286675742344011,0.06572037686904271
6,0.05187790699397461,0.04134879344039493
7,0.04538331015766421,0.04450416564941406
8,0.04215104439401928,0.030491471083627805
9,0.03199539045932927,0.030344521005948383
10,0.028922128903714917,0.021593229431245062
11,0.02906076676106151,0.027752056096990902
12,0.029367143170365803,0.0409560062819057
13,0.03269551489266414,0.01979052151242892
14,0.03212682015109289,0.034298720873064466
15,0.022337157420719726,0.03401212890942892
16,0.025649523386095142,0.023924803775217798
17,0.034550405284271966,0.03737161888016595
18,0.023839508808111844,0.015657912732826337
19,0.023779604041689557,0.016842991320623293
20,0.028312196931507015,0.04735893590582742
21,0.021396817615892315,0.0251887080570062
22,0.028270160991557037,0.03283548148141967
23,0.029406169358688065,0.031694608430067696
24,0.034188243454392954,0.04002743338545164
25,0.02216796236277758,0.016138574418922264
26,0.02566294640868525,0.016355445401536092
27,0.01722327405233172,0.011449506816764673
28,0.02530508358738845,0.024166070545713108
29,0.02400133367392081,0.01955003829465972
30,0.0247190689927415,0.016038416160477534
31,0.02900847101796277,0.04153762468033367
32,0.02872229289687887,0.03154259009493722
33,0.026662712421598313,0.014378431667056348
34,0.016642395289072506,0.02860309783783224
35,0.02377295043743864,0.016521801551183064
36,0.026203678826553913,0.033963197428319186
37,0.027988180282372464,0.016772579194770917
38,0.01665490674727325,0.011488226138883166
39,0.019908346683730052,0.022889903229143884
40,0.026763020413397235,0.02539128479030397
41,0.03006733357434786,0.016251428259743586
42,0.01983303826632379,0.0222797060592307
43,0.02387904738889465,0.01205379743542936
44,0.017736533656716347,0.017935548391607072
45,0.018997201271638085,0.014115688597990407
46,0.013921306881157659,0.017571089271869924
47,0.019751345196479482,0.023947422289186053
48,0.021362907241416883,0.01727634771830506
49,0.0199699245416854,0.014180033467710018
50,0.018020847222850293,0.015888174374898274
51,0.01752523777275523,0.02152086566719744
52,0.01621070049137254,0.02118418055276076
53,0.01744279640290556,0.016813160437676642
54,0.022130756132021735,0.022805539477202628
55,0.02302186969148962,0.01444375535680188
56,0.019422660617134237,0.03137201753755411
57,0.019545962149866775,0.011802200848857561
58,0.012851075068870677,0.011334969869090451
59,0.0161211168912204,0.011856962616244951
60,0.01532780239947989,0.011994052574866347
61,0.016410706163961675,0.01812025552822484
62,0.01579202201123102,0.012566105359130435
63,0.012284954267117796,0.01251844068368276
64,0.016674814851883844,0.01642815147837003
65,0.01943828548670192,0.015896873341666326
66,0.0172288437503614,0.01270490905476941
67,0.01274669417946399,0.014547001673943467
68,0.013064477404084387,0.028171009487575956
69,0.02475015307434752,0.017542189608017605
70,0.01698372510698023,0.014399306538204351
71,0.017161943277792087,0.014090611495905452
72,0.014189790333090703,0.015152194537222385
73,0.01946843828110001,0.021352219084898632
74,0.02190978957127921,0.03310824268394046
75,0.01744754213981236,0.012801351336141428
76,0.0198356559193587,0.010769793867237039
77,0.011161643952791449,0.015773474963174924
78,0.016449193010413195,0.017297803941700194
79,0.01271944582650933,0.014110678392979834
80,0.012359012778895565,0.00508738091836373
81,0.016721976708762253,0.02504125527209706
82,0.022424754238675668,0.025265360458029643
83,0.025307717697718477,0.017062487701574963
84,0.014471763792105867,0.016175383287999365
85,0.01750414500225194,0.013800720063348612
86,0.016660789900188204,0.018714537430140708
87,0.019517623430377322,0.014650831723378764
88,0.014607524098474768,0.008578419064482054
89,0.013608740171111083,0.016831609937879775
90,0.014084352722650842,0.019599492972095806
91,0.022350088162701343,0.01560724185158809
92,0.01355108604589595,0.019695822356475726
93,0.02113597005417075,0.020099037430352636
94,0.015905405194321764,0.014858153959115347
95,0.014001294263178789,0.012591379798120923
96,0.017588808802486974,0.014909137557778094
97,0.01582911911220113,0.013690873773561584
98,0.014205814162387123,0.01259978281127082
99,0.02183137834072113,0.014863709401753213
100,0.016299421109164818,0.013634745859437518
