model,epoch,split,metric,value
pod_deeponet,25,train,relative_l2,0.7838308095932007
pod_deeponet,25,validation,relative_l2,0.7079567313194275
pod_deeponet,26,train,relative_l2,0.7815812945365905
pod_deeponet,26,validation,relative_l2,0.7058488726615906
pod_deeponet,27,train,relative_l2,0.7796047925949097
pod_deeponet,27,validation,relative_l2,0.7038283348083496
pod_deeponet,28,train,relative_l2,0.7779886722564697
pod_deeponet,28,validation,relative_l2,0.7018557786941528
pod_deeponet,29,train,relative_l2,0.7758715867996215
pod_deeponet,29,validation,relative_l2,0.699969470500946
pod_deeponet,30,train,relative_l2,0.7741201519966125
pod_deeponet,30,validation,relative_l2,0.6981938481330872
